1,673,621,881,4562,1144,479
2,592,917,719,8210,12992,6689
3,971,881,622,812,13986,13420
4,669,516,804,10503,14336,10077
5,936,643,578,3728,2849,12863
6,627,515,933,5526,3423,12240
7,862,722,520,7579,1681,11073
8,769,732,907,9423,560,3178
9,679,571,806,11209,11793,9755
10,940,757,822,2515,4818,12400
11,809,964,817,8413,4440,3174
12,948,633,783,12687,6281,13576
13,994,843,596,10494,6194,1003
14,518,902,789,1875,3390,14479
15,629,975,756,5712,6884,14802
16,555,932,547,1054,10076,7123
17,861,946,711,10561,1101,6306
18,756,528,857,10961,4455,7775
19,783,939,693,14151,9828,12441
20,854,629,806,2407,11049,4802
21,694,849,555,9604,11516,12336
22,879,560,835,3003,4392,5089
23,627,646,946,6224,8052,8523
24,594,942,920,3937,366,11816
25,685,675,852,1978,14020,3681
26,512,981,532,14993,1606,2894
27,783,903,824,9272,9159,10244
28,845,581,736,10396,10085,9820
29,995,830,927,5331,6459,9299
30,853,588,914,1744,13299,9947
31,701,578,517,919,2349,731
32,984,928,971,273,13406,8505
33,900,748,899,5856,10080,914
34,629,584,870,6419,3992,11490
35,786,980,735,6303,13886,683
36,968,963,651,233,7745,12858
37,860,587,538,3488,4975,3205
38,532,516,585,7790,11217,13322
39,963,577,530,10672,12822,13821
40,815,558,962,8911,9272,13203
41,879,778,895,14440,3243,12751
42,809,949,955,7485,14410,11452
43,849,502,580,11915,13085,11957
44,709,541,707,13725,684,6587
45,826,713,717,3690,6289,2246
46,677,702,533,6281,2389,16
47,746,572,782,10605,362,1570
48,963,520,766,11562,4630,11306
49,536,730,950,6706,1738,8325
50,933,754,818,4965,10023,10092
51,686,653,632,5279,10030,3037
52,632,625,854,8026,3647,13057
53,566,681,750,4522,12804,12613
54,567,923,535,3019,12742,8490
55,996,527,739,7677,8361,3335
56,840,787,734,13445,5580,10136
57,997,605,770,7774,279,1616
58,831,993,536,14334,10310,11099
59,883,702,900,3230,3401,2841
60,938,614,536,14740,3261,701
61,940,647,973,11394,944,6069
62,570,632,638,9243,12256,12848
63,713,997,546,13098,1457,6565
64,996,522,768,10848,10678,8687
65,999,808,541,14388,9330,10744
66,755,675,648,14345,5600,7507
67,963,762,632,1490,1705,2056
68,697,994,937,11024,10376,431
69,611,900,942,186,14262,8521
70,812,561,837,1384,9418,6733
71,979,795,786,10575,7202,11600
72,851,811,977,8079,3158,14166
73,613,570,520,10473,9439,11324
74,688,650,641,12117,12589,3099
75,777,835,932,2740,5361,8845
76,737,712,865,3914,11827,2481
77,869,931,911,14709,1095,7075
78,674,964,890,3251,152,3597
79,622,667,684,4977,11143,13292
80,503,786,686,13958,1333,5552
81,808,659,848,108,9027,11542
82,862,785,936,8366,2330,7325
83,536,596,745,2243,11693,1124
84,941,978,915,8344,10902,8280
85,602,503,877,8400,9130,3584
86,535,908,839,9947,12618,582
87,859,703,993,7833,9711,9841
88,862,829,877,7685,13597,13071
89,501,816,550,10866,10160,12070
90,921,670,938,5723,10573,7111
91,699,729,845,13654,3312,1985
92,861,557,625,6603,14317,1542
93,919,959,528,7643,11430,6577
94,500,898,844,11080,752,11485
95,616,658,948,7845,13477,9895
96,581,659,624,10891,3918,7740
97,935,788,648,12836,10752,1416
98,803,721,776,14613,13005,10593
99,978,847,787,10043,6810,1619
100,840,964,593,11780,5417,9249
101,588,500,583,3662,4557,14777
102,550,951,957,308,12026,2852
103,796,702,664,701,7226,7022
104,577,933,783,3099,2993,7312
105,959,916,870,3322,2530,4380
106,743,720,910,4295,5606,176
107,613,809,620,8754,8633,2986
108,891,945,887,8157,9468,5796
109,847,638,562,12540,14946,3947
110,519,958,559,2121,11193,10290
111,665,790,915,6432,12811,6968
112,793,749,884,6983,5001,11527
113,535,737,777,4864,10166,185
114,510,582,697,5912,8495,11166
115,600,798,696,7961,2270,2626
116,865,549,709,786,1376,11144
117,868,927,852,13445,11129,13825
118,755,617,716,1618,14141,2984
119,793,1000,602,11388,8558,6346
120,889,807,887,1197,14738,12203
